Name,date,Open,High,Low,Close,volume
Titan Company,1-2-19,26.965,26.99,26.535,27,1296914
UltraTech Cement,1-2-19,85.82,85.97,85.16,85,2565384
UPL,1-2-19,79.03,79.03,78.01,79,3352844
Wipro,1-2-19,111.56,111.95,111.11,111,839074
Nestle India,1-2-19,44.365,44.395,43.73,44,883640
LTIMindtree,1-2-19,63.34,64.11,62.93,64,402659
SBI Life Insurance,1-2-19,31.59,31.74,30.93,32,7432953
HDFC Life,1-2-19,17.91,18.075,17.8,18,6620855
AVB,1-2-19,118.25,119.26,117.68,118,901928
AVGO,1-2-19,52.85,52.88,51.89,53,1453732
AVY,1-2-19,50.09,50.19,49.445,50,645964
AWK,1-2-19,42.01,42.0899,41.5,42,788839
AXP,1-2-19,90.9,91.08,89.38,89,5120019
AYI,1-2-19,109.22,109.26,106.84,108,254146
AZO,1-2-19,477.67,479.7,472.51,474,151840
A,1-2-19,57.1,57.1,56.15,56,1916160
BAC,1-2-19,15.69,16.16,15.68,16,149225696
BAX,1-2-19,69.54,69.68,69.04,69,2069974
BA,1-2-19,136.01,137.25,135.51,137,3368009
BBT,1-2-19,37.18,37.18,36.7,37,3185617
BBY,1-2-19,39.75,41,39.62,41,4019318
BDX,1-2-19,110.41,110.41,108.79,109,665048
BEN,1-2-19,57.36,57.56,56.405,57,1098073
BF.B,1-2-19,37.775,37.84,37.005,37,704366
BIIB,1-2-19,279.44,282.515,276.21,280,902226
BK,1-2-19,34.3,35.03,34.3,35,3469457
BLK,1-2-19,315.38,315.38,310.4699,313,396548
BLL,1-2-19,25.625,25.81,25.5625,26,1234874
BMY,1-2-19,52.52,53.16,52.14,52,5654293
BRK.B,1-2-19,118.34,118.5,117.36,118,3087000
BSX,1-2-19,12.02,12.02,11.85,12,7971602
BWA,1-2-19,55.89,55.96,54.59,55,1301497
BXP,1-2-19,100.22,101.36,99.55,100,894806
CAG,1-2-19,33.66,33.73,33.46,34,1904047
CAH,1-2-19,66.45,66.6475,65.91,66,1608509
CAT,1-2-19,90.41,90.45,89.33,90,4898714
CA,1-2-19,33.49,33.56,33.02,33,1948770
CBG,1-2-19,26.27,26.55,26.07,26,2607046
CBOE,1-2-19,51.89,51.9789,50.76,51,522121
CBS,1-2-19,63.25,63.73,62.41,63,6722968
CB,1-2-19,102.78,103.39,101.33,102,1112627
CCI,1-2-19,73.14,73.2,71.23,72,3659722
CCL,1-2-19,39.64,39.995,39.61,40,2953583
CDNS,1-2-19,14,14.08,13.92,14,3118223
CELG,1-2-19,84.505,86.17,84.085,86,4759036
CERN,1-2-19,55.48,55.6,54.82,55,1111541
CF,1-2-19,46.606,47.36,46.4588,47,3460110
CHD,1-2-19,33.13,33.155,32.61,33,1035860
CHK,1-2-19,27.07,27.22,26.45,27,7040026
CHRW,1-2-19,58.21,58.48,57.61,58,1503287
CHTR,1-2-19,137.15,137.6799,134.48,135,1119877
CINF,1-2-19,52.15,52.185,51.25,51,541030
CI,1-2-19,86.99,87.45,86.19,86,1021731
CLX,1-2-19,92.75,92.75,90.65,91,1353357
CL,1-2-19,64.89,65.03,64,64,3004468
CMA,1-2-19,47.24,47.43,46.84,47,1094704
CMCSA,1-2-19,25.9,25.95,25.635,26,19522498
CME,1-2-19,77.96,78.75,77.32,78,2070876
CMG,1-2-19,530,532.9599,521.53,523,456491
CMI,1-2-19,140.43,140.98,138.28,139,1533605
CMS,1-2-19,26.8,26.8,26.205,26,2218229
CNC,1-2-19,29.48,29.64,29.215,30,1005594
CNP,1-2-19,23.17,23.29,22.81,23,2980414
COF,1-2-19,76.61,77.73,76.6,77,3070336
COG,1-2-19,38.57,39.3,37.98,38,4825062
COL,1-2-19,74,74,72.952,73,731153
COO,1-2-19,123.25,123.97,122.29,123,320701
COP,1-2-19,70.27,70.92,69.53,70,4363288
COST,1-2-19,118.71,119.3,117.74,118,1618678
COTY,1-2-19,15.27,15.62,15.16,16,783829
CPB,1-2-19,43.08,43.23,42.68,43,2169184
CRM,1-2-19,55.2,55.21,54.4105,55,2739210
CSCO,1-2-19,22.17,22.29,21.91,22,44387713
CSX,1-2-19,28.61,28.67,28.19,28,4485698
CTAS,1-2-19,59.25,59.37,58.68,59,580415
CTL,1-2-19,31.74,31.82,31.51,32,4446283
CTSH,1-2-19,50.125,50.375,49.215,49,5559598
CTXS,1-2-19,63.04,63.19,61.97,62,1018355
CVS,1-2-19,71.16,71.37,70.18,70,4489516
CVX,1-2-19,124.46,124.88,123.71,124,4540472
CXO,1-2-19,106.44,108.84,101.42,103,1815364
C,1-2-19,52.03,52.4,51.81,52,16489767
DAL,1-2-19,27.26,28.05,27.26,28,11704363
DE,1-2-19,90.95,91.3,90.13,90,2462047
DFS,1-2-19,55.79,56,55.14,55,2756625
DGX,1-2-19,53.45,53.5,52.75,53,2857287
DG,1-2-19,60.38,61.62,60.38,61,6018218
DHI,1-2-19,21.81,22.035,21.635,22,6140313
DHR,1-2-19,76.66,77.01,76.1,76,2010443
DISCA,1-2-19,90.21,90.25,88.6,89,893462
DISCK,1-2-19,83.22,83.67,82.13,83,184546
DISH,1-2-19,57.99,58.15,57.02,58,1724368
DIS,1-2-19,76.04,76.5,75.9,76,5212460
DLR,1-2-19,49.63,50.829,49.3,49,2583986
DLTR,1-2-19,55.99,56.56,55.98,56,2424218
DOV,1-2-19,96.54,96.74,94.93,95,647793
DPS,1-2-19,48.86,48.93,47.48,48,1182288
DRE,1-2-19,15.25,15.25,14.97,15,2550464
DRI,1-2-19,54.18,54.34,53.295,53,1782716
DTE,1-2-19,66.4,66.44,65.22,65,1415319
DUK,1-2-19,69.2,69.24,68,68,3374033
DVA,1-2-19,63.36,65.16,63.19,65,2901903
DVN,1-2-19,61.69,61.84,60.92,61,2061600
D,1-2-19,64.61,64.64,63.441,64,2284519
EA,1-2-19,22.9,22.96,22.43,23,3550732
EBAY,1-2-19,54.97,55,53.9,54,9980763
ECL,1-2-19,103.58,104.42,103.41,104,814936
ED,1-2-19,55.15,55.15,53.9,54,3337195
EFX,1-2-19,68.95,69.25,68.2,68,336346
EIX,1-2-19,46.06,46.491,45.41,45,2414961
EL,1-2-19,74.99,75.1,73.56,74,1084018
EMN,1-2-19,80.31,80.53,79.88,80,1612922
EMR,1-2-19,69.83,70.03,69.1006,69,1803110
EOG,1-2-19,83.285,83.978,82.03,83,2944140
EQIX,1-2-19,177.63,177.63,171.91,175,823185
EQR,1-2-19,51.74,52.305,51.55,52,1520619
EQT,1-2-19,89.88,90.19,88.12,89,807841
ESRX,1-2-19,70,70.41,69.77,70,2895590
ESS,1-2-19,141.79,147.54,141.79,146,725431
ES,1-2-19,42.35,42.42,41.7,42,2915300
ETFC,1-2-19,19.71,19.86,19.58,20,3115394
ETN,1-2-19,75.74,75.99,75.18,75,3774166
ETR,1-2-19,63.35,63.39,61.71,62,1206645
EW,1-2-19,32.84,33.22,32.595,33,1670338
EXC,1-2-19,27.46,27.58,27.16,27,4983758
EXPD,1-2-19,44.31,44.48,43.34,43,782942
EXPE,1-2-19,69.08,69.69,68.56,69,1399901
EXR,1-2-19,42.09,42.15,41.48,42,491126
FAST,1-2-19,47.51,47.61,46.45,47,1532639
FBHS,1-2-19,45.5,46.04,45.2,45,1024930
FB,1-2-19,54.83,55.22,54.19,55,43257622
FCX,1-2-19,37.69,38.09,37.44,38,9047737
FDX,1-2-19,142.9,144.39,139.5693,140,3360745
FE,1-2-19,32.96,32.98,32.25,32,3431905
FFIV,1-2-19,90.42,90.47,88.445,89,1039619
FISV,1-2-19,59.05,59.22,57.99,58,1028767
FIS,1-2-19,53.4,53.55,52.79,53,986757
FITB,1-2-19,20.94,21.06,20.83,21,6971216
FLIR,1-2-19,29.92,30.01,29.07,29,781424
FLR,1-2-19,79.82,80.2,78.79,79,1206471
FLS,1-2-19,78.17,78.46,76.99,77,1400867
FL,1-2-19,41.36,41.52,40.59,41,1559184
FMC,1-2-19,75.27,75.38,74.33,75,605886
FOXA,1-2-19,35.47,35.75,35.27,36,11035482
FOX,1-2-19,34.58,35.18,34.45,35,1978530
FRT,1-2-19,101.38,101.84,100.366,101,501833
FTI,1-2-19,51.94,52.21,50.861,51,1964533
F,1-2-19,15.42,15.45,15.28,15,31544161
GD,1-2-19,94.85,95.53,94.54,95,1816353
GE,1-2-19,27.86,27.94,27.41,28,41503781
GGP,1-2-19,20.08,20.12,19.86,20,4861847
GILD,1-2-19,75.205,75.59,74.39,75,8281053
GIS,1-2-19,49.6,49.68,49.27,49,2205527
GLW,1-2-19,17.74,17.81,17.62,18,7571718
GM,1-2-19,40.68,41.0599,40.34,41,14764415
GOOGL,1-2-19,558.2877,559.4339,554.6842,557,3641796
GPC,1-2-19,83.1,83.1299,81.63,82,545102
GPN,1-2-19,32.445,32.745,32.445,33,1658578
GPS,1-2-19,39.09,39.63,38.66,39,4785190
GRMN,1-2-19,45.75,45.835,44.56,45,1830255
GS,1-2-19,176.95,178.38,176.36,177,1990643
GT,1-2-19,23.67,23.74,23.31,24,2792843
GWW,1-2-19,254.7,255.48,252.82,253,285125
HAL,1-2-19,50.47,50.67,49.63,50,7420119
HAS,1-2-19,54.89,55.18,54.56,55,2326340
HBAN,1-2-19,9.6,9.66,9.53,10,7039144
HBI,1-2-19,17.455,17.54,17.205,17,2123404
HCA,1-2-19,47.39,48.4,47.26,48,2221061
HCN,1-2-19,53.15,53.6855,53.08,54,2575096
HCP,1-2-19,36.33,36.43,36,36,2100032
HD,1-2-19,82.11,82.57,81.8,82,4255086
HES,1-2-19,82.95,83,80.685,81,2755967
HIG,1-2-19,36.1,36.13,35.38,35,3545824
HII,1-2-19,89.63,90.08,87.42,88,479111
HOG,1-2-19,69.19,69.25,68.42,69,1022542
HOLX,1-2-19,22.22,22.3,21.91,22,2475125
HON,1-2-19,90.96,91.14,90.05,90,1744307
HP,1-2-19,83.95,84.28,82.03,82,953505
HRB,1-2-19,28.99,29.41,28.95,29,1835433
HRL,1-2-19,22.555,22.585,22.315,22,1371966
HRS,1-2-19,69.63,69.65,68.08,68,601686
HSIC,1-2-19,57.005,57.13,56.495,57,693768
HST,1-2-19,19.41,19.42,19.08,19,4973190
HSY,1-2-19,97.18,97.18,95.9,96,753497
HUM,1-2-19,102.76,103.88,102.3,103,1393665
IBM,1-2-19,187.21,187.4,185.2,186,4546809
ICE,1-2-19,44.832,45.098,44.43,45,3833350
IDXX,1-2-19,52.995,53.735,52.3176,53,855188
IFF,1-2-19,85.98,86.5,85.47,86,346558
ILMN,1-2-19,110.48,110.6,108.91,110,654500
INCY,1-2-19,50.32,52.1,49.655,51,978188
INTC,1-2-19,25.78,25.82,25.47,26,31843697
INTU,1-2-19,76.11,76.16,75.4001,76,1355681
IPG,1-2-19,17.6,17.665,17.47,18,3238010
IP,1-2-19,48.58,49.15,48.54,49,2152672
IQV,1-2-19,46.11,46.59,45.64,46,274612
IRM,1-2-19,30.26,30.48,29.22,29,1886423
IR,1-2-19,61.25,61.7,61.12,61,1916195
ISRG,1-2-19,127.8799,127.8799,126.0899,127,1382829
ITW,1-2-19,83.97,84.1,83.07,83,1390787
IT,1-2-19,70.89,70.92,69.58,70,377433
IVZ,1-2-19,36.26,36.4,35.675,36,1866179
JBHT,1-2-19,77.17,77.29,76.26,77,538630
JCI,1-2-19,42.8063,43.0157,42.3665,43,2881549
JEC,1-2-19,63.67,64.1,62.655,63,1545713
JNJ,1-2-19,91.14,91.73,91.01,91,5921167
JNPR,1-2-19,22.57,22.65,22.28,22,5654017
JPM,1-2-19,58.31,58.5,57.9745,58,15637267
JWN,1-2-19,61.67,62.2,61.34,62,1177814
KEY,1-2-19,13.43,13.44,13.26,13,6353925
KIM,1-2-19,19.77,19.86,19.61,20,2627327
KLAC,1-2-19,64,64.11,63.13,63,982745
KMB,1-2-19,104.32,104.62,103.52,104,1432910
KMI,1-2-19,35.99,36.25,35.75,36,4214292
KMX,1-2-19,47.02,47.25,46.57,47,1325121
KORS,1-2-19,80.94,82.75,80.94,82,3342211
KO,1-2-19,41.12,41.225,40.51,41,12720197
KR,1-2-19,19.63,19.77,19.605,20,6389552
KSS,1-2-19,56.76,57.53,56.735,57,3130048
KSU,1-2-19,123.04,123.21,119.46,120,801815
K,1-2-19,60.98,61.24,60.55,61,1830452
LB,1-2-19,61.68,62.52,61.41,62,745300
LEG,1-2-19,30.87,30.92,30.54,31,713229
LEN,1-2-19,38.3922,38.7941,38.0196,39,2517275
LH,1-2-19,91.37,91.6299,90.045,90,1060349
LKQ,1-2-19,32.84,32.8997,32.29,32,790694
LLL,1-2-19,106.07,106.28,104.94,105,720066
LLY,1-2-19,50.97,51.0901,50.56,51,3176683
LMT,1-2-19,147.05,147.79,145.84,146,1115858
LNC,1-2-19,51.33,51.34,50.28,51,1767432
LNT,1-2-19,25.805,25.805,25.345,25,1103324
LOW,1-2-19,49.55,49.86,49.15,49,5458567
LRCX,1-2-19,54.04,54.33,53.69,54,1052918
LUK,1-2-19,28.37,28.65,28.24,29,1237210
LUV,1-2-19,18.85,19.09,18.78,19,4559256
LYB,1-2-19,80.05,80.2099,77.9,79,4922706
L,1-2-19,48.12,48.15,47.15,47,868993
MAA,1-2-19,60.74,61.43,60.472,61,345293
MAC,1-2-19,58.69,58.825,57.84,58,767845
MAR,1-2-19,49.03,49.26,48.57,49,2127020
MAS,1-2-19,22.73,22.91,22.61,23,2330880
MAT,1-2-19,47.57,47.72,46.935,47,2335717
MA,1-2-19,83.741,83.7967,83.01,83,7408790
MCD,1-2-19,96.81,97.03,96.2576,96,2932283
MCHP,1-2-19,44.56,44.56,44.005,44,1150289
MCK,1-2-19,160.85,160.9875,159.451,160,846980
MCO,1-2-19,77.86,77.96,76.42,77,950687
MDLZ,1-2-19,35.03,35.198,34.75,35,6213092
MDT,1-2-19,57.21,57.455,57.035,57,4219216
MET,1-2-19,53.55,53.57,52.89,53,3879875
MGM,1-2-19,23.54,23.94,23.32,24,8408771
MHK,1-2-19,148.72,149.66,147.78,149,676997
MKC,1-2-19,68.87,68.96,68.09,68,470695
MLM,1-2-19,99.54,100.18,98.74,100,393209
MMC,1-2-19,48.01,48.15,47.61,48,1383352
MMM,1-2-19,138.05,139,137.61,138,3053521
MNST,1-2-19,22.6266,22.6633,22.2166,22,4593288
MON,1-2-19,116.12,117.5,115.97,116,2677114
MOS,1-2-19,47.25,47.65,46.955,47,1648763
MO,1-2-19,38.27,38.38,37.781,38,6324825
MPC,1-2-19,45.745,45.91,44.4151,45,6070238
MRK,1-2-19,49.88,50.04,49.3,49,7897827
MRO,1-2-19,35.25,35.33,34.72,35,3686485
MSFT,1-2-19,37.35,37.4,37.1,37,30643745
MSI,1-2-19,67.37,67.49,65.84,66,1101567
MS,1-2-19,31.33,31.46,30.98,31,9843424
MTB,1-2-19,116.38,116.4,114.86,115,1069011
MTD,1-2-19,241.09,243.19,239.92,242,154360
MU,1-2-19,21.68,21.79,21.27,22,26441939
MYL,1-2-19,43.38,43.42,42.55,43,2625267
M,1-2-19,53.17,53.91,52.95,53,2972778
NBL,1-2-19,67.86,67.95,66.1101,67,2281302
NCLH,1-2-19,35.16,35.4,34.46,35,428429
NDAQ,1-2-19,39.89,39.96,39.15,39,1051348
NEE,1-2-19,85.39,85.48,84.22,84,2429054
NEM,1-2-19,23.47,24.27,23.41,24,12240365
NFLX,1-2-19,52.4014,52.5114,51.5428,52,12333979
NFX,1-2-19,24.6,24.7,24.12,24,2507893
NI,1-2-19,32.84,32.91,32.11,32,2244773
NKE,1-2-19,39.075,39.415,38.965,39,5320436
NLSN,1-2-19,45.8,45.9,44.88,45,1904066
NOC,1-2-19,114.18,114.49,112.76,113,1083625
NOV,1-2-19,79.4,80.26,78.73,79,2505462
NRG,1-2-19,28.74,28.78,28.5,29,3896367
NSC,1-2-19,92.33,92.59,91.07,91,1321650
NTAP,1-2-19,41.01,41.01,40.415,40,2427140
NTRS,1-2-19,61.76,61.95,60.665,61,1011050
NUE,1-2-19,53.29,53.38,52.51,53,1611326
NVDA,1-2-19,15.92,15.98,15.72,16,6502296
NWL,1-2-19,32.4,32.4,31.99,32,1563687
NWSA,1-2-19,18.05,18.17,17.815,18,3673373
NWS,1-2-19,17.84,18.03,17.76,18,758530
OKE,1-2-19,62.15,62.15,61.0696,61,1096077
OMC,1-2-19,74.52,74.78,73.83,74,1078995
ORCL,1-2-19,37.78,38.03,37.55,38,18163750
ORLY,1-2-19,128.42,129.64,128.2,129,537637
OXY,1-2-19,94.51,94.84,93.41,94,2765153
O,1-2-19,37.38,37.41,37.005,37,1632128
PAYX,1-2-19,45.44,45.54,44.95,45,1853847
PBCT,1-2-19,15.08,15.17,14.96,15,2828870
PCAR,1-2-19,58.94,59,58.22,59,1077979
PCG,1-2-19,40.36,40.37,39.66,40,2366352
PCLN,1-2-19,1159.97,1161.29,1140,1145,654396
PDCO,1-2-19,41.09,41.28,40.64,41,577867
PEG,1-2-19,31.91,31.93,31.31,31,3323021
PEP,1-2-19,82.93,82.99,81.82,82,3276752
PFE,1-2-19,30.47,30.6,30.33,30,17438787
PFG,1-2-19,48.96,49.1,48.35,49,1014181
PGR,1-2-19,27.29,27.3,26.67,27,2569518
PG,1-2-19,81.33,81.36,80.32,81,6985476
PHM,1-2-19,20.25,20.34,19.86,20,5616884
PH,1-2-19,128.1,128.78,126.99,127,806784
PKG,1-2-19,63,63.815,63,63,634820
PKI,1-2-19,40.99,41.39,40.86,41,832589
PLD,1-2-19,36.99,37.01,36.5499,37,1985472
PM,1-2-19,87,87.2,85.75,86,3760670
PNC,1-2-19,76.06,77.22,76.06,77,1742055
PNR,1-2-19,77.35,77.686,76.42,77,1063549
PNW,1-2-19,53,53,52.04,52,1210532
PPG,1-2-19,94.75,95.145,94.265,94,1368442
PPL,1-2-19,30.13,30.13,29.64,30,4663954
PRGO,1-2-19,152.45,154.52,152.11,153,1209456
PRU,1-2-19,91.5,91.64,90.09,91,1694875
PSA,1-2-19,150.49,150.49,148.04,149,665493
PSX,1-2-19,77.17,77.32,76.36,76,2861834
PVH,1-2-19,135.76,137.66,135.49,137,817684
PWR,1-2-19,31.37,31.57,31.25,31,959400
PXD,1-2-19,182.95,182.95,175,177,2083434
PX,1-2-19,129.14,129.92,128.74,130,777690
QCOM,1-2-19,73.61,73.77,73.255,73,10110167
RCL,1-2-19,47.17,47.38,46.9,47,813965
REGN,1-2-19,275.77,277.6,269.74,275,553014
REG,1-2-19,46.28,46.34,45.41,46,609032
RE,1-2-19,155.05,155.3899,149.6,151,547822
RF,1-2-19,9.86,9.99,9.83,10,12170235
RHI,1-2-19,41.72,41.9,41.36,41,749056
RHT,1-2-19,55.95,56,55.39,56,1122485
RJF,1-2-19,52.33,52.34,51.235,52,466241
RL,1-2-19,175.44,176.88,174.93,175,750575
RMD,1-2-19,47.01,47.01,46.13,46,773438
ROK,1-2-19,117.62,117.9897,116.011,116,479119
ROP,1-2-19,138.53,138.53,137.3192,138,359433
ROST,1-2-19,37.175,37.675,37,37,3027234
RRC,1-2-19,83.13,84.28,81.08,82,1996492
RSG,1-2-19,33.2,33.3,32.91,33,1812723
RTN,1-2-19,90.16,90.16,88.33,89,1501605
SBAC,1-2-19,89.2,89.69,87.66,88,1314064
SBUX,1-2-19,39.035,39.135,38.5025,39,8528022
SCG,1-2-19,47.17,47.3,45.97,46,1001867
SCHW,1-2-19,25.99,26.05,25.7,26,4618557
SEE,1-2-19,34.02,34.04,33.46,34,1111962
SHW,1-2-19,182.03,183,180.69,182,515691
SIG,1-2-19,78.71,79.53,78.33,79,769019
SJM,1-2-19,103.64,103.65,101.83,102,878923
SLB,1-2-19,89.48,90.115,88.61,89,4958526
SLG,1-2-19,92.17,92.77,91.18,92,614582
SNA,1-2-19,109.28,109.67,108.14,109,252505
SNI,1-2-19,85.68,86.62,85.04,85,582039
SNPS,1-2-19,40.33,40.6,40.06,40,802775
SO,1-2-19,41.13,41.13,40.59,41,5514769
SPGI,1-2-19,77.44,77.78,76.53,78,1293116
SPG,1-2-19,152.39,153.27,151.02,152,1378535
SRCL,1-2-19,115.28,116.23,114.81,115,382978
SRE,1-2-19,89.55,89.67,88.13,88,1495162
STI,1-2-19,36.82,36.86,36.49,37,2241388
STT,1-2-19,73.35,73.555,72.92,73,1733439
STX,1-2-19,55.93,55.93,55.08,55,3023543
STZ,1-2-19,70.02,70.225,68.84,69,1070520
SWKS,1-2-19,28.3,28.34,27.2,27,3534856
SWK,1-2-19,80.57,80.79,79.68,80,715610
SYK,1-2-19,75.12,75.12,74.4,75,1204442
SYMC,1-2-19,23.44,23.5,23.295,23,4439549
SYY,1-2-19,36.9,36.9,35.82,36,6722624
TAP,1-2-19,55.95,56.05,54.85,55,1352710
TDG,1-2-19,160.6,160.6,158.87,160,527923
TEL,1-2-19,54.89,54.99,54.36,54,1557227
TGT,1-2-19,63.53,64.17,63.14,63,7426855
TIF,1-2-19,92.2,93.64,92.04,93,862065
TJX,1-2-19,63.36,64.33,63.19,63,2098457
TMK,1-2-19,52.12,52.12,51.3867,52,578291
TMO,1-2-19,110.69,111.16,109.29,110,2559028
TPR,1-2-19,56.15,56.65,55.635,56,3448174
TRIP,1-2-19,82.48,82.5,79.4,80,1995592
TROW,1-2-19,83.58,83.755,82.19,83,1113643
TRV,1-2-19,90.51,90.655,88.97,89,1543919
TSCO,1-2-19,77.6,77.716,76.13,77,855339
TSN,1-2-19,33.52,33.53,33.09,33,2001435
TSS,1-2-19,33.23,33.23,32.69,33,1045110
TWX,1-2-19,69.47,69.56,68.41,69,4734175
TXN,1-2-19,43.44,43.5,42.88,43,6959175
TXT,1-2-19,36.75,36.75,36.185,36,1467225
T,1-2-19,35.24,35.29,34.95,35,20233147
UAA,1-2-19,21.825,22.0075,21.6175,22,2992552
UAL,1-2-19,37.7,38.13,37.5,38,2228357
UDR,1-2-19,23.31,23.57,23.1,23,1427884
UHS,1-2-19,80.84,81.89,80.2,81,544022
ULTA,1-2-19,96.21,98.26,95.7,96,1619126
UNH,1-2-19,74.91,75.29,74.51,75,3066950
UNM,1-2-19,34.93,34.99,34.26,34,1205788
UNP,1-2-19,84.2,84.91,83.32,84,4693952
UPS,1-2-19,104.63,104.91,102.82,103,2799674
URI,1-2-19,77.27,77.73,75.51,76,1292009
USB,1-2-19,39.87,40.07,39.45,40,7045826
UTX,1-2-19,112.9,113.21,112.31,112,2649693
VAR,1-2-19,77.61,77.86,77.25,77,826123
VFC,1-2-19,63.02,63.45,62,62,1769940
VIAB,1-2-19,87.45,87.57,86.69,87,1613286
VLO,1-2-19,50.14,50.5,49.57,50,4582849
VMC,1-2-19,59.34,59.4096,58.51,59,497048
VNO,1-2-19,89.16,89.29,87.82,89,783944
VRSK,1-2-19,65.27,65.57,64.75,65,683322
VRSN,1-2-19,59.74,60.16,59.41,60,1871867
VRTX,1-2-19,74.07,74.15,72.88,74,966843
VTR,1-2-19,56.95,57.219,56.43,57,1513084
VZ,1-2-19,49.08,49.225,48.95,49,9271213
V,1-2-19,55.385,55.5075,54.875,55,10668220
WAT,1-2-19,100,100.17,99,99,335610
WBA,1-2-19,57.2,57.25,56.52,57,5376471
WDC,1-2-19,83.79,83.83,82.58,83,1592769
WEC,1-2-19,41.42,41.46,40.59,41,1355220
WFC,1-2-19,45.15,45.3,44.91,45,17344590
WHR,1-2-19,156.52,157.11,155.11,156,407749
WMB,1-2-19,38.39,38.64,38.05,38,6257569
WMT,1-2-19,78.72,79.47,78.5,79,6911859
WM,1-2-19,44.79,44.8,44.1,44,1507563
WU,1-2-19,17.22,17.25,16.96,17,5537982
WYNN,1-2-19,194.14,199.88,193.12,198,3056065
WYN,1-2-19,73.39,73.87,72.98,74,1284942
WY,1-2-19,31.38,31.58,31.167,31,2749463
XEC,1-2-19,102.78,104.59,99.48,101,1153133
XEL,1-2-19,27.91,27.94,27.5,28,3192314
XLNX,1-2-19,46.679,46.7,45.9,46,3437019
XL,1-2-19,31.71,31.85,31.22,31,2027744
XOM,1-2-19,100.18,100.76,99.385,100,11030125
XRAY,1-2-19,47.94,48.3075,47.7821,48,1025448
XRX,1-2-19,48.36,48.44,47.08,48,2620351
XYL,1-2-19,34.39,34.5,33.99,34,765141
YUM,1-2-19,75.38,75.61,74.83,75,1956285
ZBH,1-2-19,92.63,92.82,91.97,92,868763
ZION,1-2-19,29.9,29.98,29.62,30,1356738
ZTS,1-2-19,32.53,32.66,32.11,32,2576112
Adani Enterprises,1-3-19,25.75,26.75,25.51,27,13836062
Apollo Hospitals,1-3-19,78.9799,79.0999,77.2042,77,98303870
Asian Paints,1-3-19,111.23,114.33,110.58,113,987718
Axis Bank,1-3-19,52.25,52.665,51.9675,52,4794591
Bajaj Auto,1-3-19,69.89,70.21,69.81,70,1101319
